suspended,sector,employees,firm_age,owner_gender
Yes,Other Services,5,27,Male
No,Other Services,80,64,Male
No,Other Services,150,5,Male
Yes,Other Services,6,28,Female
Yes,Other Services,15,7,Male
Yes,Other Services,25,23,Male
No,Other Services,40,27,Male
No,Other Services,7,13,Male
No,Other Services,4,8,Female
No,Other Services,106,14,Male
No,Other Services,14,16,Male
Yes,Other Services,6,20,Female
No,Other Services,122,18,M
No,Other Services,20,15,M
No,Other Services,25,24,M
No,Other Services,43,6,M
No,Other Services,170,16,M
No,Other Services,10,17,M
No,Other Services,6,41,M
No,Other Services,150,24,Male
No,Other Services,12,26,Male
No,Other Services,114,20,Male
Yes,Other Services,9,21,Female
No,Other Services,250,16,Male
Yes,Other Services,19,8,Male
No,Other Services,5,25,Male
No,Other Services,18,18,Male
No,Other Services,10,7,Male
No,Other Services,217,28,Male
Yes,Other Services,90,8,Male
No,Other Services,6,27,Female
Yes,Other Services,5,9,Male
No,Other Services,14,25,Male
No,Other Services,5,28,Male
No,Other Services,51,27,Male
No,Other Services,5,8,Female
Yes,Other Services,106,26,Male
No,Other Services,31,11,Male
No,Other Services,12,15,Male
No,Other Services,35,10,Male
No,Other Services,38,12,male
No,Other Services,58,11,Male
No,Other Services,5,11,Female
No,Other Services,10,31,Male
No,Other Services,86,14,Male
Yes,Retail,8,7,Female
No,Retail,8,10,Female
Yes,Retail,240,20,Female
Yes,Retail,15,26,Male
Yes,Retail,18,72,Male
Yes,Retail,1800,25,Male
No,Retail,6,26,Female
No,Retail,16,29,Male
No,Retail,14,25,Male
No,Retail,10,24,Male
No,Retail,4,11,Male
No,Retail,15,26,Female
No,Retail,7,10,Male
No,Retail,135,15,Male
No,Retail,1293,27,Male
Yes,Retail,6,9,Male
No,Retail,22,28,Male
No,Retail,16,27,Male
No,Retail,3,24,Male
No,Retail,6,16,Male
No,Retail,29,22,Female
Yes,Retail,27,23,Male
No,Retail,170,20,Male
Yes,Retail,22,21,Female
No,Retail,150,28,Male
Yes,Retail,11,23,Male
No,Retail,34,8,Male
No,Retail,21,16,Female
No,Retail,98,22,Female
Yes,Retail,13,12,Male
Yes,Retail,338,13,Male
No,Retail,7,27,Male
No,Retail,9,19,Female
Yes,Retail,48,28,Male
Yes,Retail,35,25,Male
No,Retail,5,6,Female
No,Retail,600,23,Male
No,Retail,41,5,Female
No,Retailing,8,14,Female
Yes,Retail,5,17,Female
No,Retail,25,5,Female
No,Retail,6,7,Female
No,Retail,8,21,Male
No,Retail,41,29,Male
No,Retail,35,11,Male
Yes,Retail,10,39,Male
Yes,Retail,6,,Male
No,Retail,703,,Female
No,Retailing,14,24,Male
No,Retail,192,12,Male
No,Retail,9,31,Male
No,Retail,32,29,Male
No,Retail,47,17,Male
No,Retail,22,41,Female
Yes,Retail,29,30,Male
No,Retail,10,22,Male
No,Retail,5,25,Male
No,Retail,12,21,Male
No,Retail,6,13,Male
No,Retail,185,28,Male
No,Retail,9,15,Female
No,Retail,5,7,Female
No,Retail,27,10,Male
No,Retail,188,11,Male
Yes,Retail,6,18,Male
No,Retail,3,18,Male
No,Retail,16,12,Male
Yes,Retail,53,76,Male
Yes,Retail,5,42,Female
No,Retail,21,24,Male
Yes,Retail,22,24,Male
No,Retail,36,9,Male
Yes,Retail,7,13,Male
No,Retail,7,15,Male
No,Retail,7,61,Male
No,Retail,40,29,Female
No,Retail,14,11,Male
No,Retail,4,24,Female
Yes,Retail,40,25,Female
No,Retail,8,25,Male
No,Retail,6,29,Male
Yes,Retail,12,20,Male
No,Retail,160,23,Male
No,Retail,1200,6,Male
No,Retail,93,53,Female
No,Retail,7,12,Male
No,Retail,15,8,Male
No,Retail,70,,Female
No,Retail,5,3,Female
Yes,Retail,200,100,Female
Yes,Retail,22,12,Female
Yes,Retail,70,28,Female
Yes,Retail,50,6,Male
No,Retail,7,22,Female
No,Retail,59,28,Female
No,Retail,6,21,Female
No,Retail,7,23,Male
No,Retail,25,21,Male
No,Retail,5,25,Male
Yes,Retail,9,27,Male
No,Retail,25,6,Female
No,Retail,20,13,Male
No,Retail,12,27,Male
Yes,Retail,25,16,Female
No,Retail,7,27,Male
Yes,Retail,5,28,Male
No,Retail,19,27,Female
Yes,Retail,8,37,Male
No,Retail,9,20,Female
No,Retail,21,18,Male
No,Retail,25,14,Male
Yes,Retail,53,3,Female
Yes,Retail,106,24,Male
Yes,Retail,45,28,Male
No,Retail,8,29,Male
Yes,Retail,122,8,Male
No,Retail,110,17,Male
Yes,Retail,20,15,Female
Yes,Retail,9,36,Male
Yes,Retail,6,19,Male
Yes,Retail,5,13,Female
No,Retail,21,29,Male
No,Retail,1100,66,Male
Yes,Retail,53,29,Male
Yes,Retail,30,23,Female
No,Retail,5,22,Male
Yes,Retail,8,28,Male
No,Retail,5,23,Female
No,Retail,70,25,Male
Yes,Retail,5,28,Male
No,Retail,8,10,Female
No,Retail,22,24,Male
Yes,Retail,89,29,Female
Yes,Retail,48,25,Female
Yes,Retail,8,15,Male
No,Retail,15,10,Male
No,Retail,6,7,Female
Yes,Retail,6,17,Female
No,Retail,9,10,Male
No,Retail,10,14,Female
No,Retail,13,25,Male
No,Retail,18,7,Male
Yes,Retail,34,24,Male
No,Retail,7,38,Male
No,Retail,70,24,Male
No,Retail,6,22,Male
No,Retail,4,22,F
Yes,Retail,16,21,F
No,Retail,22,29,Male
No,Retail,5,24,Female
Yes,Retail,8,8,Female
No,Retail,12,15,Male
No,Retail,12,14,F
Yes,Retail,1,17,F
Yes,Retail,12,23,F
Yes,Retail,12,20,Male
No,Retail,30,26,Female
No,Retail,5,17,Male
No,Retail,13,24,Male
No,Retail,29,28,Male
No,Retail,130,8,Male
No,Retail,26,19,Male
No,Retail,20,11,Female
Yes,Retail,59,25,Male
No,Retail,4,19,Male
No,Retail,7,12,Male
No,Retail,550,29,Male
No,Retail,2,35,Female
No,Retail,7,7,Male
No,Retail,12,26,Male
No,Retail,6,23,Female
No,Retail,30,15,Male
No,Retail,22,74,Male
No,Retail,6,14,Male
No,Retail,6,24,Female
No,Retail,11,24,Male
No,Retail,8,27,Male
No,Retail,21,25,Male
Yes,Retail,7,33,Male
Yes,Retail,16,11,Male
No,Retail,48,28,Male
No,Retail,12,24,Male
No,Retail,1002,24,Male
No,Retail,9,27,Male
No,Retail,22,32,Male
No,Retail,21,21,Female
Yes,Retail,6,9,Female
No,Retail,43,27,Male
No,Retail,15,9,Male
No,Retail,24,15,Male
No,Retail,8,20,Male
No,Retail,334,25,Male
Yes,Retail,8,21,Male
Yes,Retail,60,28,Male
No,Retail,25,21,Female
No,Retail,101,12,Male
No,Retail,4,27,Female
No,Retail,12,26,Female
No,Retail,38,27,Male
Yes,Retail,392,25,Female
No,Retail,5,27,Male
Yes,Retail,5,6,Male
No,Retail,18,27,Male
No,Retail,10,27,Male
Yes,Retail,5,19,Male
Yes,Retail,33,20,Male
Yes,Retail,6,23,Male
Yes,Retail,12,17,Female
No,Retail,39,20,Female
No,Retail,5,8,Male
No,Retail,16,9,Male
Yes,Retail,6,14,Male
Yes,Retail,6,19,Male
Yes,Retail,25,10,Male
Yes,Retail,3,27,Female
No,Retail,19,13,Male
Yes,Retail,17,36,Male
Yes,Retail,10,11,Male
Yes,Retail,2,30,Male
Yes,Retail,63,5,Male
No,Retail,115,27,Female
No,Retail,21,9,Female
Yes,Retail,10,10,Male
Yes,Retail,5,23,Female
No,Retail,6,22,Female
Yes,Retail,5,22,Male
No,Retail,7,27,Male
Yes,Retail,21,31,Female
No,Retail,10,25,Male
Yes,Retail,43,11,Male
No,Retail,38,9,Male
No,Retail,5,14,Male
Yes,Retail,35,13,Male
No,Retail,31,22,Female
No,Retail,28,19,Female
Yes,Retail,3,24,Female
No,Retail,38,20,Female
No,Retail,22,28,Male
Yes,Retail,6,6,Male
Yes,Retail,12,20,Male
No,Retail,18,6,Male
Yes,Retail,10,11,Female
No,Retail,5,22,Female
Yes,Retail,5,10,Female
No,Retail,12,25,Female
Yes,Retail,41,115,Male
No,Retail,43,29,Male
Yes,Retail,8,23,Male
Yes,Retail,39,11,Female
No,Retail,7,7,Female
No,Retail,9,19,Male
No,Retail,7,17,Female
No,Retail,13,29,Male
No,Retail,5,13,Male
No,Retail,7,10,Female
No,Retail,5,24,Female
Yes,Retail,65,18,Male
No,Retail,9,24,Male
No,Retail,5,20,Male
No,Retail,180,6,Male
No,Retail,9,5,Male
No,Retail,7,7,Male
No,Retail,41,17,Male
No,Retail,9,17,Male
No,Retail,6,18,Female
No,Retail,27,25,Female
Yes,Retail,93,19,Male
No,Retail,12,18,Male
No,Retail,5,25,Female
No,Retail,26,25,Male
Yes,Retail,12,25,Female
No,Retail,200,23,Male
Yes,Retail,9,25,Male
No,Retail,20,19,Male
No,Retail,16,27,Male
No,Retail,8,21,Female
Yes,Retail,110,17,male
No,Retail,13,25,Female
No,Retail,49,31,Male
Yes,Retail,60,54,Male
Yes,Retail,6,26,Male
No,Retail,6,10,Female
Yes,Retail,161,,Female
No,Retail,7,11,Male
No,Retail,8,26,Female
No,Retail,23,25,Female
No,Retail,80,32,Male
Yes,Retail,4,26,Female
Yes,Retail,8,5,Male
Yes,Retail,5,25,Female
No,Retail,17,23,Male
No,Retail,12,11,Female
Yes,Retail,6,26,Male
Yes,Retail,26,18,Male
Yes,Retail,19,25,Male
No,Retail,27,28,Male
No,Retail,,5,male
